feature_id,title,description,domain,geo_country,geo_state,age_min,age_max,data_practices,addictive_features,safety_controls,label,rationale,implicated_regs,risk_tags,source_seed,confidence_score,generation_timestamp
"GEN-0000","Infinite Scroll for Shorts","Continuous video feed with infinite scrolling for seamless content discovery","recommendations","Netherlands","None","18","25","viewing_history; device_info; engagement_patterns","social_pressure; autoplay; push_notifications; infinite_scroll","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","addiction_risk; high_risk_feature","template_recommendations","0.71","2025-08-30T16:26:08.825152"
"GEN-0001","Contextual Product Placement","AI-driven product recommendations integrated naturally within video content","advertising","USA","Texas","18","25","browsing_behavior; demographic_data; purchase_history","targeted_advertising","parental_controls; age_verification; content_filtering; user_controls; ad_transparency","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","","template_advertising","0.79","2025-08-30T16:26:08.825385"
"GEN-0002","Location-Based Local Ads","Geo-targeted advertisements for local businesses and services","advertising","USA","Illinois","16","18","visit_history; local_preferences; location_data","","age_verification; content_filtering; location_controls; parental_controls","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; privacy_risk","template_advertising","0.83","2025-08-30T16:26:08.825416"
"GEN-0003","Friend Activity Feed","Real-time updates showing friends' activities; likes; and comments","recommendations","USA","Illinois","16","18","interaction_history; friend_activity; social_connections","social_validation; real_time_updates","privacy_controls","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting","template_recommendations","0.88","2025-08-30T16:26:08.825437"
"GEN-0004","CSAM Detection System","AI-powered system for identifying and reporting child sexual abuse material","safety","USA","New York","18","25","content_hashes; report_logs; detection_metadata","","parental_controls; age_verification; law_enforcement_cooperation; automated_reporting; user_controls; human_review","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","","template_safety","0.79","2025-08-30T16:26:08.825464"
"GEN-0005","Age-Gated Adult Content","Restricted live streaming categories requiring age verification","live_streaming","Germany","None","16","18","content_preferences; age_verification_data","social_pressure; infinite_scroll","","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","minor_targeting; addiction_risk","template_live_streaming","0.87","2025-08-30T16:26:08.825493"
"GEN-0006","Cyberbullying Detection","Machine learning system to identify and prevent harassment and bullying","safety","USA","New York","18","65","report_history; comment_analysis; behavioral_patterns","","content_filtering; automatic_intervention; counseling_resources; user_controls","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","","template_safety","0.75","2025-08-30T16:26:08.825517"
"GEN-0007","Disappearing Messages","Time-limited messages that auto-delete after specified duration","messaging","USA","Texas","16","18","message_metadata; deletion_logs","","screenshot_detection","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting","template_messaging","0.89","2025-08-30T16:26:08.825534"
"GEN-0008","Age-Gated Adult Content","Restricted live streaming categories requiring age verification","live_streaming","USA","Texas","13","17","content_preferences; age_verification_data","variable_rewards; push_notifications; social_pressure; infinite_scroll","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","child_targeting; addiction_risk","template_live_streaming","0.86","2025-08-30T16:26:08.825560"
"GEN-0009","Disappearing Messages","Time-limited messages that auto-delete after specified duration","messaging","Netherlands","None","13","17","message_metadata; deletion_logs","variable_rewards; social_pressure; infinite_scroll","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","child_targeting; addiction_risk","template_messaging","0.73","2025-08-30T16:26:08.825588"
"GEN-0010","Location-Based Local Ads","Geo-targeted advertisements for local businesses and services","advertising","USA","Illinois","16","18","visit_history; local_preferences; location_data","","location_controls","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; privacy_risk","template_advertising","0.83","2025-08-30T16:26:08.825605"
"GEN-0011","Social Proof Metrics","Public display of likes; shares; and follower counts to drive engagement","growth","USA","Texas","18","65","engagement_metrics; social_validation_data","public_metrics; social_validation","parental_controls; hide_metrics_option; user_controls; age_verification","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","","template_growth","0.93","2025-08-30T16:26:08.825632"
"GEN-0012","Contextual Product Placement","AI-driven product recommendations integrated naturally within video content","advertising","Germany","None","13","18","browsing_behavior; demographic_data; purchase_history","targeted_advertising","ad_transparency","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","child_targeting","template_advertising","0.9","2025-08-30T16:26:08.825653"
"GEN-0013","Gamified Achievement System","Points; badges; and levels to incentivize platform engagement","growth","USA","Illinois","18","25","competition_data; achievement_progress; engagement_metrics","gamification; social_competition; variable_rewards; infinite_scroll; push_notifications; social_pressure","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","addiction_risk; high_risk_feature","template_growth","0.89","2025-08-30T16:26:08.825678"
"GEN-0014","Influencer Sponsored Content","Branded content promotion through creator partnerships with disclosure","advertising","Germany","None","13","17","engagement_history; creator_preferences","variable_rewards; social_influence; infinite_scroll; push_notifications; social_pressure","","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","child_targeting; addiction_risk","template_advertising","0.84","2025-08-30T16:26:08.825706"
"GEN-0015","Contextual Product Placement","AI-driven product recommendations integrated naturally within video content","advertising","France","None","13","17","browsing_behavior; demographic_data; purchase_history","targeted_advertising; variable_rewards; infinite_scroll; push_notifications; social_pressure","","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","child_targeting; addiction_risk","template_advertising","0.75","2025-08-30T16:26:08.825732"
"GEN-0016","Crisis Intervention Alerts","System to detect self-harm content and provide mental health resources","safety","Germany","None","18","25","content_analysis; intervention_logs; resource_engagement","","parental_controls; age_verification; content_filtering; user_controls; immediate_support; professional_referrals","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","","template_safety","0.82","2025-08-30T16:26:08.825757"
"GEN-0017","Infinite Scroll for Shorts","Continuous video feed with infinite scrolling for seamless content discovery","recommendations","Germany","None","18","25","viewing_history; device_info; engagement_patterns","variable_rewards; autoplay; infinite_scroll; push_notifications; social_pressure","","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","addiction_risk; high_risk_feature","template_recommendations","0.75","2025-08-30T16:26:08.825783"
"GEN-0018","Contextual Product Placement","AI-driven product recommendations integrated naturally within video content","advertising","Germany","None","14","17","browsing_behavior; demographic_data; purchase_history","targeted_advertising; variable_rewards; infinite_scroll; push_notifications; social_pressure","ad_transparency","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","minor_targeting; addiction_risk","template_advertising","0.94","2025-08-30T16:26:08.825803"
"GEN-0019","Location-Based Local Ads","Geo-targeted advertisements for local businesses and services","advertising","Germany","None","18","25","visit_history; local_preferences; location_data","","content_filtering; location_controls; user_controls","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","privacy_risk","template_advertising","0.77","2025-08-30T16:26:08.825827"
"GEN-0020","Virtual Gift Economy","In-app currency system for viewers to send virtual gifts to streamers","live_streaming","Germany","None","18","25","spending_patterns; gifting_history; payment_info","variable_rewards; social_status; virtual_economy; infinite_scroll; push_notifications; social_pressure","spending_limits","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","addiction_risk; high_risk_feature","template_live_streaming","0.71","2025-08-30T16:26:08.825856"
"GEN-0021","Automatic Data Deletion","Scheduled deletion of user data after specified retention periods","privacy","Netherlands","None","14","16","retention_schedules; deletion_logs","push_notifications; infinite_scroll","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; addiction_risk","template_privacy","0.76","2025-08-30T16:26:08.825882"
"GEN-0022","Data Download Portal","User interface for requesting and downloading personal data archives","privacy","USA","New York","16","18","data_access_logs; download_history","","identity_verification; secure_delivery","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting","template_privacy","0.87","2025-08-30T16:26:08.825900"
"GEN-0023","Location-Based Local Ads","Geo-targeted advertisements for local businesses and services","advertising","France","None","18","25","visit_history; local_preferences; location_data","social_pressure; push_notifications; variable_rewards; infinite_scroll","","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","addiction_risk; privacy_risk","template_advertising","0.83","2025-08-30T16:26:08.825926"
"GEN-0024","Live Stream Discovery","Real-time promotion of live streams based on user interests and social connections","live_streaming","USA","Texas","13","18","creator_follows; live_viewing_history; interaction_patterns","fomo_triggers; live_notifications","age_verification","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","child_targeting; high_risk_feature","template_live_streaming","0.91","2025-08-30T16:26:08.825944"
"GEN-0025","Automatic Data Deletion","Scheduled deletion of user data after specified retention periods","privacy","USA","Texas","13","17","retention_schedules; deletion_logs","variable_rewards; push_notifications; social_pressure; infinite_scroll","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","child_targeting; addiction_risk","template_privacy","0.85","2025-08-30T16:26:08.825970"
"GEN-0026","Influencer Sponsored Content","Branded content promotion through creator partnerships with disclosure","advertising","USA","New York","13","17","engagement_history; creator_preferences","variable_rewards; social_influence; infinite_scroll; push_notifications; social_pressure","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","child_targeting; addiction_risk","template_advertising","0.89","2025-08-30T16:26:08.825995"
"GEN-0027","Influencer Sponsored Content","Branded content promotion through creator partnerships with disclosure","advertising","Netherlands","None","13","17","engagement_history; creator_preferences","variable_rewards; social_influence; infinite_scroll; push_notifications; social_pressure","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","child_targeting; addiction_risk","template_advertising","0.73","2025-08-30T16:26:08.826020"
"GEN-0028","Live Stream Discovery","Real-time promotion of live streams based on user interests and social connections","live_streaming","USA","Illinois","16","18","creator_follows; live_viewing_history; interaction_patterns","live_notifications; variable_rewards; fomo_triggers; infinite_scroll; push_notifications; social_pressure","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; addiction_risk; high_risk_feature","template_live_streaming","0.94","2025-08-30T16:26:08.826047"
"GEN-0029","Minor Direct Messaging","Private messaging system allowing communication with users under 18","messaging","USA","New York","16","18","message_content; conversation_history; contact_lists","","message_filtering; parental_oversight","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","minor_targeting; high_risk_feature","template_messaging","0.77","2025-08-30T16:26:08.826066"
"GEN-0030","Minor Direct Messaging","Private messaging system allowing communication with users under 18","messaging","France","None","18","25","message_content; conversation_history; contact_lists","","message_filtering; parental_oversight","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","high_risk_feature","template_messaging","0.78","2025-08-30T16:26:08.826084"
"GEN-0031","Contextual Product Placement","AI-driven product recommendations integrated naturally within video content","advertising","USA","New York","18","25","browsing_behavior; demographic_data; purchase_history","targeted_advertising; variable_rewards; infinite_scroll; push_notifications; social_pressure","ad_transparency","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","addiction_risk","template_advertising","0.92","2025-08-30T16:26:08.826102"
"GEN-0032","Age-Gated Adult Content","Restricted live streaming categories requiring age verification","live_streaming","Netherlands","None","13","15","content_preferences; age_verification_data","variable_rewards; push_notifications; social_pressure; infinite_scroll","strict_age_verification","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","child_targeting; addiction_risk","template_live_streaming","0.79","2025-08-30T16:26:08.826128"
"GEN-0033","Disappearing Messages","Time-limited messages that auto-delete after specified duration","messaging","USA","Texas","18","25","message_metadata; deletion_logs","variable_rewards; social_pressure; infinite_scroll","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","addiction_risk","template_messaging","0.72","2025-08-30T16:26:08.826154"
"GEN-0034","Granular Privacy Controls","Detailed settings for controlling data sharing and profile visibility","privacy","USA","New York","13","15","settings_history; privacy_preferences","variable_rewards; push_notifications; social_pressure","default_private_settings","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","child_targeting; addiction_risk","template_privacy","0.87","2025-08-30T16:26:08.826181"
"GEN-0035","Automatic Data Deletion","Scheduled deletion of user data after specified retention periods","privacy","France","None","18","25","retention_schedules; deletion_logs","variable_rewards; push_notifications; social_pressure; infinite_scroll","recovery_period; user_notification","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","addiction_risk","template_privacy","0.75","2025-08-30T16:26:08.826200"
"GEN-0036","Group Chat Creation","Feature allowing users to create and manage group conversations","messaging","Netherlands","None","13","17","admin_actions; shared_content; group_membership","group_dynamics; push_notifications; social_pressure; infinite_scroll","group_moderation","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","child_targeting; addiction_risk","template_messaging","0.87","2025-08-30T16:26:08.826228"
"GEN-0037","Gamified Achievement System","Points; badges; and levels to incentivize platform engagement","growth","Germany","None","13","18","competition_data; achievement_progress; engagement_metrics","gamification; social_competition; variable_rewards; infinite_scroll; push_notifications; social_pressure","","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","child_targeting; addiction_risk; high_risk_feature","template_growth","0.85","2025-08-30T16:26:08.826247"
"GEN-0038","Group Chat Creation","Feature allowing users to create and manage group conversations","messaging","Netherlands","None","13","18","admin_actions; shared_content; group_membership","group_dynamics; push_notifications; social_pressure; infinite_scroll","group_moderation; reporting_tools","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","child_targeting; addiction_risk","template_messaging","0.82","2025-08-30T16:26:08.826265"
"GEN-0039","Influencer Sponsored Content","Branded content promotion through creator partnerships with disclosure","advertising","France","None","16","18","engagement_history; creator_preferences","variable_rewards; social_influence; infinite_scroll; push_notifications; social_pressure","sponsorship_disclosure","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","minor_targeting; addiction_risk","template_advertising","0.74","2025-08-30T16:26:08.826284"
"GEN-0040","Friend Activity Feed","Real-time updates showing friends' activities; likes; and comments","recommendations","USA","Illinois","18","25","interaction_history; friend_activity; social_connections","social_validation; variable_rewards; push_notifications; real_time_updates; social_pressure","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","addiction_risk","template_recommendations","0.89","2025-08-30T16:26:08.826312"
"GEN-0041","Group Chat Creation","Feature allowing users to create and manage group conversations","messaging","USA","New York","13","17","admin_actions; shared_content; group_membership","group_dynamics; variable_rewards; infinite_scroll; push_notifications; social_pressure","","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","child_targeting; addiction_risk","template_messaging","0.78","2025-08-30T16:26:08.826337"
