feature_id,title,description,domain,geo_country,geo_state,age_min,age_max,data_practices,addictive_features,safety_controls,label,rationale,implicated_regs,risk_tags,source_seed,confidence_score,generation_timestamp
"GEN-0000","Crisis Intervention Alerts","System to detect self-harm content and provide mental health resources","safety","France","None","18","25","intervention_logs; content_analysis; resource_engagement","","immediate_support; professional_referrals","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","","template_safety","0.83","2025-08-30T17:04:46.122453"
"GEN-0001","Data Download Portal","User interface for requesting and downloading personal data archives","privacy","USA","California","14","16","data_access_logs; download_history","variable_rewards; social_pressure","identity_verification","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","minor_targeting; addiction_risk","template_privacy","0.86","2025-08-30T17:04:46.122521"
"GEN-0002","Automatic Data Deletion","Scheduled deletion of user data after specified retention periods","privacy","USA","Florida","13","18","deletion_logs; retention_schedules","","user_notification; recovery_period","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Targets users under 14 (banned in Florida)","US-FL","child_targeting","template_privacy","0.72","2025-08-30T17:04:46.122540"
"GEN-0003","Social Proof Metrics","Public display of likes; shares; and follower counts to drive engagement","growth","USA","California","14","16","engagement_metrics; social_validation_data","public_metrics; variable_rewards; social_validation; push_notifications","","Non-Compliant","Violates California Protecting Our Kids from Social Media Addiction Act: Algorithmic features without proper user controls","US-CA","minor_targeting; addiction_risk","template_growth","0.73","2025-08-30T17:04:46.122564"
"GEN-0004","Auto-play Next Video","Automatic progression to next recommended video without user interaction","recommendations","USA","California","13","15","viewing_patterns; content_preferences","social_pressure; infinite_scroll; push_notifications; autoplay; seamless_transition","","Non-Compliant","Violates California Protecting Our Kids from Social Media Addiction Act: Algorithmic features without proper user controls","US-CA","child_targeting; addiction_risk; high_risk_feature","template_recommendations","0.83","2025-08-30T17:04:46.122586"
"GEN-0005","Minor Direct Messaging","Private messaging system allowing communication with users under 18","messaging","USA","Florida","18","65","contact_lists; conversation_history; message_content","","user_controls; age_verification; parental_oversight; message_filtering","Compliant","Feature meets all Florida Online Protections for Minors (HB 3) requirements","US-FL","high_risk_feature","template_messaging","0.9","2025-08-30T17:04:46.122607"
"GEN-0006","Friend Activity Feed","Real-time updates showing friends' activities; likes; and comments","recommendations","USA","Florida","13","18","friend_activity; social_connections; interaction_history","real_time_updates; social_validation","privacy_controls","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Targets users under 14 (banned in Florida)","US-FL","child_targeting","template_recommendations","0.8","2025-08-30T17:04:46.122622"
"GEN-0007","Crisis Intervention Alerts","System to detect self-harm content and provide mental health resources","safety","France","None","18","25","intervention_logs; content_analysis; resource_engagement","","parental_controls; immediate_support; user_controls; professional_referrals; age_verification","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","","template_safety","0.84","2025-08-30T17:04:46.122643"
"GEN-0008","Friend Activity Feed","Real-time updates showing friends' activities; likes; and comments","recommendations","USA","Florida","18","65","friend_activity; social_connections; interaction_history","real_time_updates; social_validation","parental_controls; content_filtering; age_verification; privacy_controls","Compliant","Feature meets all Florida Online Protections for Minors (HB 3) requirements","US-FL","","template_recommendations","0.85","2025-08-30T17:04:46.122663"
"GEN-0009","Group Chat Creation","Feature allowing users to create and manage group conversations","messaging","Netherlands","None","13","15","group_membership; admin_actions; shared_content","group_dynamics; variable_rewards; infinite_scroll; social_pressure","group_moderation","Non-Compliant","Violates EU Digital Services Act (DSA): Recommender systems without transparency/control options","EU","child_targeting; addiction_risk","template_messaging","0.94","2025-08-30T17:04:46.122685"
