feature_id,title,description,domain,geo_country,geo_state,age_min,age_max,data_practices,addictive_features,safety_controls,label,rationale,implicated_regs,risk_tags,source_seed,confidence_score,generation_timestamp
MERGED-0000,Infinite Scroll for Shorts,Continuous video feed with infinite scrolling for seamless content discovery,recommendations,France,None,18,25,engagement_patterns; device_info; viewing_history,infinite_scroll; push_notifications; autoplay; social_pressure,,Compliant,Feature meets all EU Digital Services Act (DSA) requirements,EU,addiction_risk; high_risk_feature,template_recommendations,0.83,2025-08-30T23:05:35.363217
MERGED-0001,Contextual Product Placement,AI-driven product recommendations integrated naturally within video content,advertising,USA,California,16,18,demographic_data; purchase_history; browsing_behavior,social_pressure; targeted_advertising,ad_transparency,Non-Compliant,Violates California Protecting Our Kids from Social Media Addiction Act: Algorithmic features without proper user controls,US-CA,minor_targeting; addiction_risk,template_advertising,0.88,2025-08-30T23:05:35.363251
MERGED-0002,Location-Based Local Ads,Geo-targeted advertisements for local businesses and services,advertising,USA,Florida,14,17,visit_history; local_preferences; location_data,,location_controls,Non-Compliant,Violates Florida Online Protections for Minors (HB 3): Missing parental consent for 14-15 age group,US-FL,minor_targeting; privacy_risk,template_advertising,0.78,2025-08-30T23:05:35.363258
MERGED-0003,Friend Activity Feed,Real-time updates showing friends' activities; likes; and comments,recommendations,USA,Florida,13,18,friend_activity; social_connections; interaction_history,real_time_updates; social_validation,privacy_controls,Non-Compliant,Violates Florida Online Protections for Minors (HB 3): Targets users under 14 (banned in Florida),US-FL,child_targeting,template_recommendations,0.94,2025-08-30T23:05:35.363265
MERGED-0004,CSAM Detection System,AI-powered system for identifying and reporting child sexual abuse material,safety,USA,Florida,13,18,report_logs; content_hashes; detection_metadata,,automated_reporting; law_enforcement_cooperation; human_review,Non-Compliant,Violates Florida Online Protections for Minors (HB 3): Targets users under 14 (banned in Florida),US-FL,child_targeting,template_safety,0.94,2025-08-30T23:05:35.363269
MERGED-0005,Age-Gated Adult Content,Restricted live streaming categories requiring age verification,live_streaming,USA,Florida,18,25,content_preferences; age_verification_data,social_pressure; variable_rewards; infinite_scroll; push_notifications,strict_age_verification; content_warnings,Non-Compliant,Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: infinite_scroll; Uses addictive feature: push_notifications; Uses addictive feature: variable_rewards,US-FL,addiction_risk,template_live_streaming,0.91,2025-08-30T23:05:35.363275
MERGED-0006,Cyberbullying Detection,Machine learning system to identify and prevent harassment and bullying,safety,USA,Florida,14,16,report_history; comment_analysis; behavioral_patterns,infinite_scroll; social_pressure; variable_rewards,,Non-Compliant,Violates Florida Online Protections for Minors (HB 3): Missing parental consent for 14-15 age group; Uses addictive feature: infinite_scroll; Uses addictive feature: variable_rewards,US-FL,minor_targeting; addiction_risk,template_safety,0.89,2025-08-30T23:05:35.363280
MERGED-0007,Disappearing Messages,Time-limited messages that auto-delete after specified duration,messaging,Netherlands,None,14,17,deletion_logs; message_metadata,,screenshot_detection,Compliant,Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements,US-2258A,minor_targeting,template_messaging,0.94,2025-08-30T23:05:35.363284
MERGED-0008,Social Proof Metrics,Public display of likes; shares; and follower counts to drive engagement,growth,USA,Florida,14,17,engagement_metrics; social_validation_data,public_metrics; variable_rewards; social_validation; push_notifications,hide_metrics_option,Non-Compliant,Violates Florida Online Protections for Minors (HB 3): Missing parental consent for 14-15 age group; Uses addictive feature: push_notifications; Uses addictive feature: public_metrics and 1 other issues,US-FL,minor_targeting; addiction_risk,template_growth,0.76,2025-08-30T23:05:35.363288
MERGED-0009,Gamified Achievement System,Points; badges; and levels to incentivize platform engagement,growth,USA,Florida,18,25,achievement_progress; engagement_metrics; competition_data,gamification; variable_rewards; social_competition,,Non-Compliant,Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: variable_rewards,US-FL,addiction_risk; high_risk_feature,template_growth,0.78,2025-08-30T23:05:35.363292
