feature_id,title,description,domain,geo_country,geo_state,age_min,age_max,data_practices,addictive_features,safety_controls,label,rationale,implicated_regs,risk_tags,source_seed,confidence_score,generation_timestamp
"GEN-0000","Infinite Scroll for Shorts","Continuous video feed with infinite scrolling for seamless content discovery","recommendations","Germany","None","18","25","engagement_patterns; device_info; viewing_history","infinite_scroll; push_notifications; autoplay; social_pressure","","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","addiction_risk; high_risk_feature","template_recommendations","0.71","2025-08-30T16:00:58.556420"
"GEN-0001","Contextual Product Placement","AI-driven product recommendations integrated naturally within video content","advertising","Netherlands","None","18","25","demographic_data; purchase_history; browsing_behavior","targeted_advertising","age_verification; content_filtering; ad_transparency","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","","template_advertising","0.9","2025-08-30T16:00:58.556485"
"GEN-0002","Gamified Achievement System","Points; badges; and levels to incentivize platform engagement","growth","USA","California","16","18","achievement_progress; competition_data; engagement_metrics","gamification; social_competition","content_filtering; parental_controls","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","minor_targeting; high_risk_feature","template_growth","0.72","2025-08-30T16:00:58.556515"
"GEN-0003","Granular Privacy Controls","Detailed settings for controlling data sharing and profile visibility","privacy","USA","Florida","14","17","settings_history; privacy_preferences","","clear_explanations; default_private_settings","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Missing parental consent for 14-15 age group","US-FL","minor_targeting","template_privacy","0.94","2025-08-30T16:00:58.556535"
"GEN-0004","Friend Activity Feed","Real-time updates showing friends' activities; likes; and comments","recommendations","France","None","16","18","social_connections; interaction_history; friend_activity","social_validation; real_time_updates","privacy_controls","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","minor_targeting","template_recommendations","0.88","2025-08-30T16:00:58.556554"
"GEN-0005","CSAM Detection System","AI-powered system for identifying and reporting child sexual abuse material","safety","USA","Florida","16","18","report_logs; content_hashes; detection_metadata","","human_review; parental_controls; law_enforcement_cooperation; user_controls; automated_reporting","Compliant","Feature meets all Florida Online Protections for Minors (HB 3) requirements","US-FL","minor_targeting","template_safety","0.79","2025-08-30T16:00:58.556577"
"GEN-0006","Cyberbullying Detection","Machine learning system to identify and prevent harassment and bullying","safety","Netherlands","None","21","65","report_history; comment_analysis; behavioral_patterns","","age_verification; counseling_resources; automatic_intervention; content_filtering","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","","template_safety","0.79","2025-08-30T16:00:58.556598"
"GEN-0007","Crisis Intervention Alerts","System to detect self-harm content and provide mental health resources","safety","USA","Florida","16","18","content_analysis; resource_engagement; intervention_logs","push_notifications; social_pressure","","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: push_notifications","US-FL","minor_targeting; addiction_risk","template_safety","0.93","2025-08-30T16:00:58.556623"
"GEN-0008","Cyberbullying Detection","Machine learning system to identify and prevent harassment and bullying","safety","USA","Florida","14","16","report_history; comment_analysis; behavioral_patterns","infinite_scroll; social_pressure; variable_rewards","","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Missing parental consent for 14-15 age group; Uses addictive feature: infinite_scroll; Uses addictive feature: variable_rewards","US-FL","minor_targeting; addiction_risk","template_safety","0.89","2025-08-30T16:00:58.556646"
"GEN-0009","Granular Privacy Controls","Detailed settings for controlling data sharing and profile visibility","privacy","USA","California","13","18","settings_history; privacy_preferences","","clear_explanations; default_private_settings","Compliant","Feature meets all California Protecting Our Kids from Social Media Addiction Act requirements","US-CA","child_targeting","template_privacy","0.72","2025-08-30T16:00:58.556662"
"GEN-0010","Gamified Achievement System","Points; badges; and levels to incentivize platform engagement","growth","Germany","None","18","25","achievement_progress; competition_data; engagement_metrics","gamification","content_filtering; user_controls","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","high_risk_feature","template_growth","0.94","2025-08-30T16:00:58.556685"
"GEN-0011","Crisis Intervention Alerts","System to detect self-harm content and provide mental health resources","safety","USA","Florida","18","25","content_analysis; resource_engagement; intervention_logs","push_notifications; social_pressure","immediate_support; content_filtering; professional_referrals; parental_controls","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Uses addictive feature: push_notifications","US-FL","addiction_risk","template_safety","0.94","2025-08-30T16:00:58.556708"
"GEN-0012","Age-Gated Adult Content","Restricted live streaming categories requiring age verification","live_streaming","Netherlands","None","18","25","age_verification_data; content_preferences","social_pressure; variable_rewards","strict_age_verification","Compliant","Feature meets all US Federal CSAM Reporting Requirements (18 U.S.C. §2258A) requirements","US-2258A","addiction_risk","template_live_streaming","0.89","2025-08-30T16:00:58.556731"
"GEN-0013","Social Proof Metrics","Public display of likes; shares; and follower counts to drive engagement","growth","USA","Florida","13","15","social_validation_data; engagement_metrics","push_notifications; public_metrics; social_validation; variable_rewards","","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Targets users under 14 (banned in Florida); Uses addictive feature: push_notifications; Uses addictive feature: public_metrics and 1 other issues","US-FL","child_targeting; addiction_risk","template_growth","0.76","2025-08-30T16:00:58.556755"
"GEN-0014","Infinite Scroll for Shorts","Continuous video feed with infinite scrolling for seamless content discovery","recommendations","France","None","18","25","engagement_patterns; device_info; viewing_history","infinite_scroll; push_notifications; autoplay; social_pressure","","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","addiction_risk; high_risk_feature","template_recommendations","0.83","2025-08-30T16:00:58.556777"
"GEN-0015","Minor Direct Messaging","Private messaging system allowing communication with users under 18","messaging","USA","Florida","13","15","contact_lists; conversation_history; message_content","push_notifications; social_pressure","message_filtering","Non-Compliant","Violates Florida Online Protections for Minors (HB 3): Targets users under 14 (banned in Florida); Uses addictive feature: push_notifications","US-FL","child_targeting; addiction_risk; high_risk_feature","template_messaging","0.76","2025-08-30T16:00:58.556801"
"GEN-0016","Friend Activity Feed","Real-time updates showing friends' activities; likes; and comments","recommendations","Germany","None","14","17","social_connections; interaction_history; friend_activity","social_validation; real_time_updates","privacy_controls","Compliant","Feature meets all EU Digital Services Act (DSA) requirements","EU","minor_targeting","template_recommendations","0.72","2025-08-30T16:00:58.556817"
